2280513|NULL|histidine-rich glycoprotein|AB005803|3q28-q29
3077741|NULL|ribosomal protein Sa|AB007146|NULL
3077768|NULL|ribosomal protein L15|AB007173|NULL
3077772|NULL|ribosomal protein L24|AB007177|NULL
3077777|NULL|ribosomal protein L35a|AB007182|NULL
2760152|NULL|activin receptor type IIB|AB008681|3p22-p21.3
60391386|GBP28|gelatin-binding protein|AB012165|3q27
6467132|NULL|b-chemokine receptor CCR3|AB023887|3p21.2
6467136|NULL|b-chemokine receptor CCR4|AB023889|3p
6467138|NULL|b-chemokine receptor CCR4|AB023890|3p
6467140|NULL|b-chemokine receptor CCR4|AB023891|3p
6467142|NULL|b-chemokine receptor CCR4|AB023892|3p
4835382|DLEC1|organic-cation transporter like 3|AB026898|3p22-p21.3
7106501|AHSG|alpha2-HS glycoprotein|AB038689|3q27
60683909|UMPS|UMP synthase|AB041359|3q13
11414985|BHLHB2|bHLH transcriptional factor DEC1|AB043885|3p26-p25.3
11990938|hmGluR2|metabotropic glutamate receptor type 2|AB045011|3p12-p11
12381882|RPL14|ribosomal protein L14|AB046407|3p22-p21.2
15487288|psiGlcAT-I|NULL|AB049116|NULL
14020822|env|envelope protein|AB050999|NULL
14028334|MRPL3|mitochondrial ribosomal protein L3|AB051336|3q21-q23
14028400|MRPS25|mitochondrial ribosomal protein S25|AB061208|3p25
14028408|MRPS22|mitochondrial ribosomal protein S22|AB061314|3q23
17932937|RPL14|ribosomal protein L14|AB061822|3p22-p21.2
17932939|RPL15|ribosomal protein L15|AB061823|3p25-p24
17932949|RPL24|ribosomal protein L24|AB061828|3q12
17932955|RPL32|ribosomal protein L32|AB061831|3q21-q23
23491780|RPL39L|ribosomal protein L39-like|AB063607|3q27-q28
21928220|NULL|seven transmembrane helix receptor|AB065454|NULL
21928222|NULL|seven transmembrane helix receptor|AB065455|NULL
21928225|NULL|seven transmembrane helix receptor|AB065457|NULL
21928227|NULL|seven transmembrane helix receptor|AB065458|NULL
21928229|NULL|seven transmembrane helix receptor|AB065459|NULL
21928232|NULL|seven transmembrane helix receptor|AB065461|NULL
21928234|NULL|seven transmembrane helix receptor|AB065462|NULL
21928602|NULL|seven transmembrane helix receptor|AB065664|NULL
21928604|NULL|seven transmembrane helix receptor|AB065665|NULL
21928606|NULL|seven transmembrane helix receptor|AB065666|NULL
21928608|NULL|seven transmembrane helix receptor|AB065667|NULL
21928610|NULL|seven transmembrane helix receptor|AB065668|NULL
21928612|NULL|seven transmembrane helix receptor|AB065669|NULL
21929163|NULL|seven transmembrane helix receptor|AB065942|NULL
27901570|OSZF|OSZF|AB079779|3q26
40645757|muc20S|transmembrane mucin MUC20S|AB098733|3q29
3893831|eIF-4G|eukaryotic initiation factor-4 gamma|AF004836|3q27-qter
2209244|atp1b3|Na K-ATPase beta-3 subunit|AF005896|3q22-23
2291081|GR6|putative G6 protein|AF008191|3q21
3243092|CCR-5|CC-chemokine receptor|AF009962|3p21
2282063|VHL|von Hippel-Lindau tumor suppressor|AF010238|3p25-26
2911297|IL1RAP|interleukin-1 receptor accessory protein|AF016261|3q28
2674073|Btd|biotinidase|AF018631|3p25
2655040|SCA7|spinocerebellar ataxia 7|AF020276|3p
2656145|FHIT|diadenosine triphosphate hydrolase|AF020503|NULL
2921152|DAGK3|diacylglycerol kinase 3|AF020945|3q27-q28
2599369|NULL|FHIT protein|AF023460|3p14
3523110|cyclophilin pseudogene|NULL|AF026688|3p21.33-p22
3523111|TGM4|prostate-specific transglutaminase|AF026689|3p21.33-p22
2613016|GPX1|NULL|AF029317|3q11-q12
10716827|STRL33|mutant G protein-coupled receptor STRL33|AF029759|NULL
3192947|SCA7|ataxin-7|AF032102|between D3S1287 and D3S1600
2660740|CCR5|CC chemokine receptor 5|AF032132|3p21
