NULL|histidine-rich glycoprotein|AB005803|3q28-q29
NULL|ribosomal protein Sa|AB007146|NULL
NULL|ribosomal protein L15|AB007173|NULL
NULL|ribosomal protein L24|AB007177|NULL
NULL|ribosomal protein L35a|AB007182|NULL
NULL|activin receptor type IIB|AB008681|3p22-p21.3
GBP28|gelatin-binding protein|AB012165|3q27
NULL|b-chemokine receptor CCR3|AB023887|3p21.2
NULL|b-chemokine receptor CCR4|AB023889|3p
NULL|b-chemokine receptor CCR4|AB023890|3p
NULL|b-chemokine receptor CCR4|AB023891|3p
NULL|b-chemokine receptor CCR4|AB023892|3p
DLEC1|organic-cation transporter like 3|AB026898|3p22-p21.3
AHSG|alpha2-HS glycoprotein|AB038689|3q27
UMPS|UMP synthase|AB041359|3q13
BHLHB2|bHLH transcriptional factor DEC1|AB043885|3p26-p25.3
hmGluR2|metabotropic glutamate receptor type 2|AB045011|3p12-p11
RPL14|ribosomal protein L14|AB046407|3p22-p21.2
env|envelope protein|AB050999|NULL
MRPL3|mitochondrial ribosomal protein L3|AB051336|3q21-q23
MRPS25|mitochondrial ribosomal protein S25|AB061208|3p25
MRPS22|mitochondrial ribosomal protein S22|AB061314|3q23
RPL14|ribosomal protein L14|AB061822|3p22-p21.2
RPL15|ribosomal protein L15|AB061823|3p25-p24
RPL24|ribosomal protein L24|AB061828|3q12
RPL32|ribosomal protein L32|AB061831|3q21-q23
RPL39L|ribosomal protein L39-like|AB063607|3q27-q28
NULL|seven transmembrane helix receptor|AB065454|NULL
NULL|seven transmembrane helix receptor|AB065455|NULL
NULL|seven transmembrane helix receptor|AB065457|NULL
NULL|seven transmembrane helix receptor|AB065458|NULL
NULL|seven transmembrane helix receptor|AB065459|NULL
NULL|seven transmembrane helix receptor|AB065461|NULL
NULL|seven transmembrane helix receptor|AB065462|NULL
NULL|seven transmembrane helix receptor|AB065664|NULL
NULL|seven transmembrane helix receptor|AB065665|NULL
NULL|seven transmembrane helix receptor|AB065666|NULL
NULL|seven transmembrane helix receptor|AB065667|NULL
NULL|seven transmembrane helix receptor|AB065668|NULL
NULL|seven transmembrane helix receptor|AB065669|NULL
NULL|seven transmembrane helix receptor|AB065942|NULL
OSZF|OSZF|AB079779|3q26
muc20S|transmembrane mucin MUC20S|AB098733|3q29
eIF-4G|eukaryotic initiation factor-4 gamma|AF004836|3q27-qter
GR6|putative G6 protein|AF008191|3q21
CCR-5|CC-chemokine receptor|AF009962|3p21
VHL|von Hippel-Lindau tumor suppressor|AF010238|3p25-26
IL1RAP|interleukin-1 receptor accessory protein|AF016261|3q28
SCA7|spinocerebellar ataxia 7|AF020276|3p
FHIT|diadenosine triphosphate hydrolase|AF020503|NULL
NULL|FHIT protein|AF023460|3p14
GPX1|NULL|AF029317|3q11-q12
STRL33|mutant G protein-coupled receptor STRL33|AF029759|NULL
SCA7|ataxin-7|AF032102|between D3S1287 and D3S1600
CCR5|CC chemokine receptor 5|AF032132|3p21
MITF|microphthalmia-associated transcription factor|AF034755|3p12.3-p14.1
NULL|NULL|AF035946|3p21.3
